filter;Komoditas;Tahun;Bulan;Harga
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;Januari;Rp20.412
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;Februari;Rp18.361
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;Maret;Rp17.518
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;April;Rp20.508
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;Mei;Rp20.667
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;Juni;Rp16.958
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;Juli;Rp19.316
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;Agustus;Rp16.587
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;September;Rp15.732
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;Oktober;Rp20.619
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;November;Rp21.303
Ayam;Ayam Ras (Rp/Ekor Hidup);2019;Desember;Rp19.884
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;Januari;Rp17.625
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;Februari;Rp17.469
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;Maret;Rp16.879
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;April;Rp16.502
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;Mei;Rp18.661
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;Juni;Rp23.997
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;Juli;Rp21.127
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;Agustus;Rp17.829
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;September;Rp18.158
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;Oktober;Rp19.249
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;November;Rp22.031
Ayam;Ayam Ras (Rp/Ekor Hidup);2020;Desember;Rp22.276
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;Januari;Rp25.142
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;Februari;Rp24.251
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;Maret;Rp22.566
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;April;Rp23.226
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;Mei;Rp23.702
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;Juni;Rp22.740
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;Juli;Rp21.065
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;Agustus;Rp20.015
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;September;Rp20.822
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;Oktober;Rp21.335
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;November;Rp21.359
Ayam;Ayam Ras (Rp/Ekor Hidup);2021;Desember;Rp21.545
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;Januari;Rp23.383
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;Februari;Rp21.444
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;Maret;Rp21.760
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;April;Rp23.317
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;Mei;Rp23.621
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;Juni;Rp23.214
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;Juli;Rp23.486
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;Agustus;Rp22.310
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;September;Rp21.426
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;Oktober;Rp20.590
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;November;Rp21.081
Ayam;Ayam Ras (Rp/Ekor Hidup);2022;Desember;Rp21.736
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;Januari;Rp21.122
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;Februari;Rp20.434
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;Maret;Rp20.655
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;April;Rp21.375
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;Mei;Rp22.537
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;Juni;Rp23.879
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;Juli;Rp23.977
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;Agustus;Rp22.905
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;September;Rp21.917
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;Oktober;Rp21.147
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;November;Rp21.203
Ayam;Ayam Ras (Rp/Ekor Hidup);2023;Desember;Rp21.148
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;Januari;Rp21.401
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;Februari;Rp21.997
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;Maret;Rp23.595
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;April;Rp23.585
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;Mei;Rp23.298
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;Juni;Rp22.466
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;Juli;Rp21.811
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;Agustus;Rp21.048
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;September;Rp20.864
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;Oktober;Rp21.341
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;November;Rp22.038
Ayam;Ayam Ras (Rp/Ekor Hidup);2024;Desember;Rp22.251
Sapi;Sapi Hidup (Rp/kg Berat Hidup);2019;Januari;Rp47.473
Sapi;Sapi Hidup (Rp/kg Berat Hidup);2019;Februari;Rp47.445
Sapi;Sapi Hidup (Rp/kg Berat Hidup);2019;Maret;Rp47.573
Sapi;Sapi Hidup (Rp/kg Berat Hidup);2019;April;Rp47.819
